store_id,가게명,영업시간,전화번호,주소
18,글로브커피,08:50 - 16:40,,전라북도 전주시 덕진구 덕진동1가 1266-23 1층 글로브커피
19,숯불닭발전문김막창-전북대점,17:00 - 05:00,050720804298 (요기요 제공 번호),전라북도 전주시 덕진구 금암동 1599-17
